product_id,product_name,category,subcategory,cost_price
1,Education,Books,Education,3478.89
2,Camera,Electronics,Camera,4303.74
3,Education,Books,Education,4442.82
4,BIOGRAPHY,Books,Biography,388.68
5,Furniture,Home,Furniture,2198.16
6,Mobile,Electronics,Mobile,3485.31
7,Mobile,Electronics,Mobile,327.79
8,Kitchen,Home,Kitchen,1258.78
9,Biography,Books,Biography,941.28
10,Men,Clothing,Men,1943.59
11,Women,Clothing,Women,758.43
12,Biography,Books,Biography,1313.87
13,Headphones,Electronics,Headphones,3404.17
14,Men,Clothing,Men,1760.55
15,Decor,Home,Decor,3467.05
16,Education,Books,Education,1954.23
17,Novel,Books,Novel,2881.02
18,Decor,Home,Decor,4890.83
19,EDUCATION,Books,Education,4332.08
20,Headphones,Electronics,Headphones,4519.53
21,Kids,Clothing,Kids,1134.07
22,Kids,Clothing,Kids,3790.11
23,Kids,Clothing,Kids,3155.92
24,Camera,Electronics,Camera,215.15
25,Decor,Home,Decor,4552.66
26,Decor,Home,Decor,1043.93
27,Decor,Home,Decor,1399.01
28,Women,Clothing,Women,4723.73
29,Decor,Home,Decor,4030.95
30,Novel,Books,Novel,4834.18
31,Biography,Books,Biography,3963.88
32,Camera,Electronics,Camera,2301.19
33,Decor,Home,Decor,3210.82
34,Furniture,Home,Furniture,2383.81
35,Decor,Home,Decor,362.92
36,Biography,Books,Biography,2071.06
37,Men,Clothing,Men,1556.6
38,Novel,Books,Novel,4441.93
39,Women,Clothing,Women,3368.91
40,Biography,Books,Biography,814.89
41,Biography,Books,Biography,2472.27
42,EDUCATION,Books,Education,1884.12
43,Education,Books,Education,4284.48
44,Camera,Electronics,Camera,4890.32
45,Furniture,Home,Furniture,989.55
46,Headphones,Electronics,Headphones,1099.92
47,Mobile,Electronics,Mobile,1255.67
48,Kids,Clothing,Kids,4157.6
49,Kids,Clothing,Kids,4354.99
50,Furniture,Home,Furniture,3000.11
51,Furniture,Home,Furniture,2724.07
52,Men,Clothing,Men,177.61
53,Camera,Electronics,Camera,1227.76
54,Furniture,Home,Furniture,309.38
55,Biography,Books,Biography,364.61
