order_id,customer_id,order_date,status,region_code
1,408,2024-10-25 00:00:00,CANCELLED,NORTH
2,120,2026-02-11 04:15:55,PLACED,EAST
3,1,2025-05-10 20:23:35,DELIVERED,NORTH
4,106,2026-03-22 00:38:27,CANCELLED,NORTH
6,472,2026-05-01 22:59:03,CANCELLED,EAST
7,235,2025-09-08 00:48:18,PLACED,SOUTH
8,327,2025-02-25 06:33:38,RETURNED,NORTH
9,223,2025-11-15 15:13:53,DELIVERED,EAST
10,436,2024-10-31 01:31:34,DELIVERED,EAST
11,232,2025-02-27 15:56:22,SHIPPED,SOUTH
12,400,2025-12-19 05:20:47,PLACED,SOUTH
13,231,2026-05-31 02:14:02,RETURNED,EAST
14,494,2026-06-21 05:06:26,CANCELLED,EAST
15,437,2026-03-20 15:57:24,DELIVERED,NORTH
16,111,2026-05-15 16:24:20,PLACED,SOUTH
17,496,2026-01-28 15:21:32,DELIVERED,EAST
18,420,2025-11-26 00:00:00,CANCELLED,WEST
19,285,2025-04-26 23:25:13,CANCELLED,NORTH
20,412,2024-07-19 19:37:06,PLACED,SOUTH
21,67,2025-09-14 02:12:08,PLACED,EAST
22,470,2026-05-21 00:00:00,PLACED,SOUTH
25,421,2024-10-14 21:02:00,CANCELLED,WEST
26,89,2024-08-12 14:28:17,DELIVERED,EAST
27,229,2024-07-15 00:00:00,RETURNED,SOUTH
28,332,2025-09-29 00:00:43,RETURNED,WEST
29,32,2025-10-17 14:13:00,CANCELLED,SOUTH
30,330,2025-05-13 05:58:44,RETURNED,NORTH
31,196,2025-09-01 09:00:12,RETURNED,WEST
32,177,2025-09-09 10:22:39,CANCELLED,EAST
34,30,2025-03-04 19:37:06,DELIVERED,SOUTH
35,499,2024-12-21 07:25:59,SHIPPED,EAST
36,274,2026-02-12 09:01:22,PLACED,SOUTH
37,295,2026-02-07 01:01:46,DELIVERED,SOUTH
38,91,2026-06-12 23:05:19,DELIVERED,NORTH
39,361,2026-01-26 00:12:59,RETURNED,SOUTH
40,289,2025-04-04 05:37:22,CANCELLED,EAST
41,90,2024-12-22 14:49:34,SHIPPED,SOUTH
42,11,2025-05-27 00:00:00,RETURNED,SOUTH
43,413,2026-06-14 13:53:37,DELIVERED,NORTH
44,12,2025-11-24 20:47:58,SHIPPED,NORTH
45,434,2026-05-03 12:06:25,PLACED,EAST
46,361,2025-08-13 06:26:18,PLACED,EAST
47,155,2024-10-29 19:19:10,CANCELLED,WEST
48,333,2024-11-13 04:10:13,RETURNED,EAST
49,115,2024-12-01 01:38:11,CANCELLED,EAST
50,376,2024-12-29 15:32:58,PLACED,WEST
51,436,2025-11-02 07:19:55,PLACED,SOUTH
52,309,2026-04-20 12:36:03,RETURNED,SOUTH
53,328,2025-01-23 11:12:42,SHIPPED,EAST
54,382,2024-12-09 02:16:00,DELIVERED,SOUTH
55,326,2024-10-08 04:28:57,DELIVERED,WEST
56,6,2024-11-29 00:31:17,PLACED,EAST
57,132,2025-12-14 07:41:54,PLACED,WEST
58,225,2026-03-24 06:30:26,CANCELLED,WEST
59,452,2025-09-24 18:51:53,PLACED,WEST
60,404,2026-05-04 02:52:34,SHIPPED,SOUTH
61,232,2024-08-22 09:38:06,DELIVERED,NORTH
62,164,2026-05-03 10:46:51,DELIVERED,SOUTH
63,455,2026-02-14 12:11:51,RETURNED,NORTH
65,221,2025-09-10 11:05:23,CANCELLED,SOUTH
66,28,2025-07-04 10:22:12,SHIPPED,WEST
67,357,2025-11-23 21:22:03,RETURNED,EAST
68,339,2025-09-11 02:15:16,PLACED,WEST
69,293,2024-09-05 23:16:38,PLACED,EAST
70,2,2025-02-21 21:55:19,RETURNED,WEST
71,103,2025-12-14 20:53:03,DELIVERED,NORTH
72,243,2024-09-01 11:29:47,CANCELLED,WEST
73,251,2025-01-21 20:55:10,RETURNED,WEST
74,95,2024-09-25 10:23:20,SHIPPED,WEST
75,23,2024-12-11 11:53:39,SHIPPED,EAST
76,289,2026-01-25 17:43:39,PLACED,NORTH
77,343,2025-10-05 02:51:03,RETURNED,SOUTH
78,284,2025-07-24 13:39:03,RETURNED,WEST
79,495,2025-03-25 03:16:19,CANCELLED,SOUTH
80,244,2025-04-14 13:18:18,PLACED,SOUTH
81,62,2024-10-18 17:52:01,SHIPPED,SOUTH
82,414,2025-12-14 00:00:00,PLACED,WEST
83,104,2025-12-02 06:39:56,RETURNED,EAST
84,164,2025-01-09 07:46:22,PLACED,NORTH
85,199,2024-09-26 20:44:19,DELIVERED,WEST
86,470,2025-02-17 15:06:18,RETURNED,WEST
87,58,2025-11-04 08:22:29,RETURNED,NORTH
88,474,2024-09-03 09:05:43,DELIVERED,EAST
89,450,2026-06-10 07:11:25,CANCELLED,WEST
90,20,2024-12-08 10:50:18,RETURNED,WEST
91,20,2025-03-14 23:43:22,SHIPPED,NORTH
92,382,2025-07-23 12:52:24,DELIVERED,NORTH
93,173,2025-06-26 04:24:48,DELIVERED,WEST
94,440,2025-03-23 04:34:41,SHIPPED,SOUTH
95,154,2025-11-01 21:13:09,DELIVERED,EAST
96,374,2025-12-05 08:17:07,SHIPPED,WEST
97,109,2025-03-05 13:58:03,CANCELLED,EAST
98,421,2025-12-31 18:45:36,PLACED,EAST
99,364,2025-10-07 21:28:49,RETURNED,NORTH
100,89,2024-11-06 12:36:41,PLACED,SOUTH
101,17,2025-09-23 10:25:01,SHIPPED,EAST
102,189,2025-09-24 10:50:06,PLACED,NORTH
103,124,2025-04-20 06:24:49,SHIPPED,WEST
104,301,2026-03-30 12:22:42,DELIVERED,NORTH
106,439,2025-06-08 19:59:31,SHIPPED,EAST
107,334,2024-11-19 00:00:00,PLACED,WEST
108,467,2024-07-14 21:50:11,PLACED,SOUTH
109,130,2025-03-11 10:30:37,DELIVERED,WEST
110,459,2025-01-18 08:48:02,DELIVERED,SOUTH
111,239,2026-03-13 09:31:46,RETURNED,WEST
112,300,2024-12-30 05:18:07,DELIVERED,EAST
113,153,2026-01-15 08:07:03,DELIVERED,EAST
114,328,2026-02-05 18:56:14,DELIVERED,SOUTH
115,77,2025-11-20 21:51:35,PLACED,WEST
116,339,2025-06-14 21:42:19,PLACED,WEST
118,299,2026-04-24 16:33:00,SHIPPED,EAST
119,372,2025-04-16 09:04:06,CANCELLED,EAST
120,260,2024-10-23 11:24:20,RETURNED,SOUTH
121,151,2025-12-21 00:03:22,DELIVERED,SOUTH
122,485,2026-01-31 11:22:00,PLACED,SOUTH
123,182,2025-03-25 16:32:41,CANCELLED,EAST
124,191,2026-05-24 00:44:29,PLACED,WEST
125,28,2025-07-18 22:45:14,RETURNED,NORTH
126,242,2025-07-05 15:52:57,CANCELLED,EAST
127,212,2025-06-22 01:50:16,SHIPPED,SOUTH
128,176,2025-04-15 19:11:30,CANCELLED,SOUTH
129,162,2026-03-04 22:27:59,PLACED,WEST
130,171,2025-03-05 10:10:14,PLACED,NORTH
131,232,2025-07-24 09:34:05,SHIPPED,SOUTH
132,251,2025-09-12 15:40:18,SHIPPED,WEST
133,325,2024-10-03 16:33:03,CANCELLED,WEST
135,457,2025-11-24 13:43:03,SHIPPED,NORTH
137,160,2024-09-12 19:51:50,RETURNED,EAST
138,86,2026-04-25 00:00:00,DELIVERED,WEST
139,373,2025-02-14 02:49:25,CANCELLED,SOUTH
140,176,2026-05-09 03:20:46,SHIPPED,SOUTH
141,486,2026-04-14 01:47:25,PLACED,SOUTH
142,115,2024-10-27 21:35:01,PLACED,SOUTH
143,64,2026-06-03 10:44:40,PLACED,WEST
144,449,2025-09-02 12:19:53,RETURNED,NORTH
145,305,2024-12-10 17:31:12,PLACED,NORTH
146,354,2025-01-31 14:48:47,PLACED,EAST
147,243,2026-01-31 22:01:34,PLACED,EAST
148,216,2026-05-30 14:15:39,DELIVERED,SOUTH
149,215,2025-11-09 20:47:10,RETURNED,NORTH
150,145,2024-09-08 13:07:32,SHIPPED,SOUTH
151,399,2026-01-27 03:57:19,SHIPPED,EAST
152,361,2024-09-07 17:19:14,RETURNED,WEST
153,467,2026-06-04 01:48:34,DELIVERED,SOUTH
155,77,2026-05-02 01:13:05,PLACED,NORTH
156,464,2025-08-09 02:15:09,DELIVERED,EAST
157,238,2025-11-13 18:08:05,PLACED,EAST
158,185,2024-08-04 09:15:58,PLACED,NORTH
159,436,2026-03-04 00:00:00,SHIPPED,SOUTH
160,169,2025-10-06 02:59:18,RETURNED,EAST
161,450,2025-10-03 19:15:23,DELIVERED,SOUTH
162,59,2025-05-21 20:01:02,DELIVERED,WEST
163,354,2026-02-28 14:41:44,SHIPPED,NORTH
165,214,2024-12-23 09:54:36,RETURNED,WEST
166,93,2026-06-15 02:29:12,RETURNED,NORTH
167,442,2024-08-08 15:05:12,SHIPPED,WEST
168,472,2025-09-12 14:13:15,CANCELLED,NORTH
169,33,2025-01-29 14:00:14,RETURNED,SOUTH
170,490,2025-09-06 06:45:57,RETURNED,NORTH
171,222,2026-06-05 12:52:09,DELIVERED,WEST
172,77,2025-09-03 08:04:27,RETURNED,NORTH
173,6,2025-07-12 20:25:08,CANCELLED,WEST
